city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Wien;Austria;;2019;63063;62024;60922;60094;60831;AT001C1;2761369
Graz;Austria;;2019;59539;58385;58217;57571;58778;AT002C1;2778067
Linz;Austria;;2019;64181;63874;63145;63494;63012;AT003C1;2772400
Salzburg;Austria;;2019;65964;64116;63717;64509;65304;AT004C1;2766824
Innsbruck;Austria;;2019;54331;54105;53384;53365;53350;AT005C1;2775220
Klagenfurt;Austria;;2019;50102;49165;49162;48434;48218;AT006C1;2774326
Bruxelles / Brussel;Belgium;;2019;80127;79137;78148;82738;82240;BE001C1;2800866
Antwerpen;Belgium;;2019;56089;55526;56644;57222;57543;BE002C1;2803138
Gent;Belgium;;2019;51939;53015;54264;55089;55988;BE003C1;2797656
Charleroi;Belgium;;2019;33286;32687;32978;32695;32432;BE004C1;2800481
Liège;Belgium;;2019;36242;35999;36319;35955;36182;BE005C1;2792413
Brugge;Belgium;;2019;45762;45884;46109;45819;46411;BE006C1;2800931
Namur;Belgium;;2019;35853;35411;35891;35360;35686;BE007C1;2790471
Leuven;Belgium;;2019;42026;42475;42647;42560;41159;BE008C1;2792482
Mons;Belgium;;2019;35772.784691152;35575.5938683564;35647.0333035536;36018.9030113955;36044.0074520846;BE009C1;2790869
Kortrijk;Belgium;;2019;46950;47702;49700;49403;50693;BE010C1;2794055
Oostende;Belgium;;2019;34131;35709;35868;35619;36085;BE011C1;2789786
Sofia;Bulgaria;;2019;37120;37401;37701;39901;41446;BG001C1;727011
Plovdiv;Bulgaria;;2019;13745;14156;13894;15014;16183;BG002C1;728193
Varna;Bulgaria;;2019;17312;17086;18326;18753;18751;BG003C1;726050
Burgas;Bulgaria;;2019;14728;15010;13812;15488;16638;BG004C1;732770
Pleven;Bulgaria;;2019;9523;9992;10046;10295;10453;BG005C1;728203
Ruse;Bulgaria;;2019;12949;13445;14539;14632;15166;BG006C1;727523
Vidin;Bulgaria;;2019;8488;8921;9212;9250;9276;BG007C1;725905
Stara Zagora;Bulgaria;;2019;17524;18588;21729;19919;23534;BG008C1;726848
Sliven;Bulgaria;;2019;9357;8559;8969;8650;9211;BG009C1;727079
Dobrich;Bulgaria;;2019;11220;11616;11759;11733;12076;BG010C1;726418
Shumen;Bulgaria;;2019;10635;10969;11096;11210;11631;BG011C1;727233
Pernik;Bulgaria;;2019;9071;8757;9002;8941;10025;BG012C1;728330
Yambol;Bulgaria;;2019;11040;10737;11679;12016;12256;BG013C1;725578
Haskovo;Bulgaria;;2019;9609;9306;9647;10282;10535;BG014C1;730435
Pazardzhik;Bulgaria;;2019;11496;11065;10418;11816;10916;BG015C1;728378
Blagoevgrad;Bulgaria;;2019;11224;11463;11379;11594;11900;BG016C1;733191
Veliko Tarnovo;Bulgaria;;2019;11253;11743;11738;12180;12372;BG017C1;725993
Vratsa;Bulgaria;;2019;13629;12376;14353;13544;13985;BG018C1;725712
Lefkosia;Cyprus;;2019;NA;NA;NA;NA;NA;CY001C1;146268
Lemesos;Cyprus;;2019;NA;NA;NA;NA;NA;CY501C1;146384
Praha;Czech Republic;;2019;65631;65110;65247;70867;71946;CZ001C1;3067696
Brno;Czech Republic;;2019;30246;31046;31614;33072;33245;CZ002C1;3078610
Ostrava;Czech Republic;;2019;27048;26010;26921;27982;28599;CZ003C1;3068799
Plzen;Czech Republic;;2019;28199;29111;30371;31313;32205;CZ004C1;3068160
