ID;EconomicSectorsSIC2008;Regions;Periods;GVA_millionEUR;EmployedPersons_1000fte
5996;300002;CR01    ;2015JJ00;636;8
6020;300002;CR02    ;2015JJ00;447;2.9
6044;300002;CR03    ;2015JJ00;7802;15.8
6068;300002;CR04    ;2015JJ00;1655;12.9
6092;300002;CR05    ;2015JJ00;673;7.5
6116;300002;CR06    ;2015JJ00;1055;10.9
6140;300002;CR07    ;2015JJ00;799;6.7
6164;300002;CR08    ;2015JJ00;1207;9.3
6188;300002;CR09    ;2015JJ00;602;6.6
6212;300002;CR10    ;2015JJ00;2137;21.3
6236;300002;CR11    ;2015JJ00;850;8.4
6260;300002;CR12    ;2015JJ00;3963;39
6284;300002;CR13    ;2015JJ00;3161;31.3
6308;300002;CR14    ;2015JJ00;2379;25.4
6332;300002;CR15    ;2015JJ00;3909;29.4
6356;300002;CR16    ;2015JJ00;986;11
6380;300002;CR17    ;2015JJ00;4305;38.1
6404;300002;CR18    ;2015JJ00;1233;12.8
6428;300002;CR19    ;2015JJ00;789;8.1
6452;300002;CR20    ;2015JJ00;1966;14.6
6476;300002;CR21    ;2015JJ00;575;4.9
6500;300002;CR22    ;2015JJ00;836;7.6
6524;300002;CR23    ;2015JJ00;5150;39.4
6548;300002;CR24    ;2015JJ00;759;6.8
6572;300002;CR25    ;2015JJ00;2625;16
6596;300002;CR26    ;2015JJ00;1578;12.8
6620;300002;CR27    ;2015JJ00;1087;8.5
6644;300002;CR28    ;2015JJ00;1004;10.8
6668;300002;CR29    ;2015JJ00;8382;52.5
6692;300002;CR30    ;2015JJ00;2439;23.8
6716;300002;CR31    ;2015JJ00;1127;7.6
6740;300002;CR32    ;2015JJ00;1628;14.1
6764;300002;CR33    ;2015JJ00;4627;36.6
6788;300002;CR34    ;2015JJ00;2316;23
6812;300002;CR35    ;2015JJ00;4434;40.9
6836;300002;CR36    ;2015JJ00;8083;59.7
6860;300002;CR37    ;2015JJ00;2014;20.7
6884;300002;CR38    ;2015JJ00;1506;15.3
6908;300002;CR39    ;2015JJ00;4357;29.9
6932;300002;CR40    ;2015JJ00;1231;12.4
