"ID";"Sex";"Regions";"Periods";"PopulationOn1January_1"
"3476";"T001038";"GM1680";"2016JJ00";"   25243"
"3536";"T001038";"GM1000";"2016JJ00";""
"3596";"T001038";"GM0738";"2016JJ00";"   13038"
"3656";"T001038";"GM0358";"2016JJ00";"   31299"
"3716";"T001038";"GM0197";"2016JJ00";"   26912"
"3776";"T001038";"GM0480";"2016JJ00";""
"3836";"T001038";"GM0648";"2016JJ00";""
"3896";"T001038";"GM0739";"2016JJ00";""
"3956";"T001038";"GM0359";"2016JJ00";""
"4016";"T001038";"GM0481";"2016JJ00";""
"4076";"T001038";"GM0305";"2016JJ00";""
"4136";"T001038";"GM0059";"2016JJ00";"   28007"
"4196";"T001038";"GM0001";"2016JJ00";""
"4256";"T001038";"GM0002";"2016JJ00";""
"4316";"T001038";"GM0360";"2016JJ00";""
"4376";"T001038";"GM0482";"2016JJ00";"   19955"
"4436";"T001038";"GM0613";"2016JJ00";"   24985"
"4496";"T001038";"GM0483";"2016JJ00";""
"4556";"T001038";"GM0361";"2016JJ00";"  107615"
"4616";"T001038";"GM0141";"2016JJ00";"   72425"
"4676";"T001038";"GM0034";"2016JJ00";"  198145"
"4736";"T001038";"GM0740";"2016JJ00";""
"4796";"T001038";"GM0484";"2016JJ00";"  107960"
"4856";"T001038";"GM0741";"2016JJ00";""
"4916";"T001038";"GM1723";"2016JJ00";"    9924"
"4976";"T001038";"GM1959";"2016JJ00";""
"5036";"T001038";"GM0142";"2016JJ00";""
"5096";"T001038";"GM1679";"2016JJ00";""
"5156";"T001038";"GM0883";"2016JJ00";""
"5216";"T001038";"GM0485";"2016JJ00";""
"5276";"T001038";"GM0060";"2016JJ00";"    3611"
"5336";"T001038";"GM0306";"2016JJ00";""
"5396";"T001038";"GM0307";"2016JJ00";"  153602"
"5456";"T001038";"GM0486";"2016JJ00";""
"5516";"T001038";"GM0198";"2016JJ00";""
"5576";"T001038";"GM0362";"2016JJ00";"   88602"
"5636";"T001038";"GM0884";"2016JJ00";""
"5696";"T001038";"GM0363";"2016JJ00";"  833624"
"5756";"T001038";"GM0742";"2016JJ00";""
"5816";"T001038";"GM0364";"2016JJ00";""
"5876";"T001038";"GM0199";"2016JJ00";""
"5936";"T001038";"GM1014";"2016JJ00";""
"5996";"T001038";"GM0105";"2016JJ00";""
"6056";"T001038";"GM0366";"2016JJ00";""
"6116";"T001038";"GM0200";"2016JJ00";"  159025"
"6176";"T001038";"GM0201";"2016JJ00";""
"6236";"T001038";"GM0003";"2016JJ00";"   12001"
"6296";"T001038";"GM0885";"2016JJ00";""
"6356";"T001038";"GM0487";"2016JJ00";""
"6416";"T001038";"GM0649";"2016JJ00";""
"6476";"T001038";"GM0202";"2016JJ00";"  153818"
"6536";"T001038";"GM0488";"2016JJ00";""
"6596";"T001038";"GM0106";"2016JJ00";"   67061"
"6656";"T001038";"GM0367";"2016JJ00";""
"6716";"T001038";"GM0743";"2016JJ00";"   16580"
"6776";"T001038";"GM0368";"2016JJ00";""
"6836";"T001038";"GM0143";"2016JJ00";""
"6896";"T001038";"GM0650";"2016JJ00";""
"6956";"T001038";"GM0061";"2016JJ00";""
"7016";"T001038";"GM0651";"2016JJ00";""
"7076";"T001038";"GM0744";"2016JJ00";"    6611"
"7136";"T001038";"GM0308";"2016JJ00";"   24521"
"7196";"T001038";"GM0886";"2016JJ00";""
"7256";"T001038";"GM0004";"2016JJ00";""
"7316";"T001038";"GM0745";"2016JJ00";""
"7376";"T001038";"GM1246";"2016JJ00";""
"7436";"T001038";"GM0489";"2016JJ00";"   47861"
"7496";"T001038";"GM0203";"2016JJ00";"   55441"
"7556";"T001038";"GM0062";"2016JJ00";""
"7616";"T001038";"GM0369";"2016JJ00";""
"7676";"T001038";"GM1017";"2016JJ00";""
"7736";"T001038";"GM0204";"2016JJ00";""
"7796";"T001038";"GM0144";"2016JJ00";""
"7856";"T001038";"GM0005";"2016JJ00";"   10433"
"7916";"T001038";"GM0887";"2016JJ00";""
"7976";"T001038";"GM0888";"2016JJ00";"   16068"
"8036";"T001038";"GM0746";"2016JJ00";""
"8096";"T001038";"GM1954";"2016JJ00";""
"8156";"T001038";"GM0370";"2016JJ00";"    8958"
"8216";"T001038";"GM0747";"2016JJ00";""
"8276";"T001038";"GM0006";"2016JJ00";""
"8336";"T001038";"GM0205";"2016JJ00";""
"8396";"T001038";"GM0889";"2016JJ00";"   13388"
"8456";"T001038";"GM0371";"2016JJ00";""
"8516";"T001038";"GM0107";"2016JJ00";""
"8576";"T001038";"GM0890";"2016JJ00";""
"8636";"T001038";"GM0007";"2016JJ00";"    8971"
"8696";"T001038";"GM1019";"2016JJ00";""
"8756";"T001038";"GM0891";"2016JJ00";""
"8816";"T001038";"GM0206";"2016JJ00";""
"8876";"T001038";"GM0372";"2016JJ00";""
"8936";"T001038";"GM0309";"2016JJ00";""
"8996";"T001038";"GM0490";"2016JJ00";""
"9056";"T001038";"GM1945";"2016JJ00";"   34574"
"9116";"T001038";"GM0892";"2016JJ00";""
"9176";"T001038";"GM0491";"2016JJ00";""
"9236";"T001038";"GM1724";"2016JJ00";"   18253"
"9296";"T001038";"GM0893";"2016JJ00";"   13090"
"9356";"T001038";"GM0373";"2016JJ00";"   29943"
"9416";"T001038";"GM0748";"2016JJ00";"   66237"
"9476";"T001038";"GM0749";"2016JJ00";""
"9536";"T001038";"GM0207";"2016JJ00";""
"9596";"T001038";"GM0208";"2016JJ00";""
"9656";"T001038";"GM0750";"2016JJ00";""
"9716";"T001038";"GM0492";"2016JJ00";""
"9776";"T001038";"GM0493";"2016JJ00";""
"9836";"T001038";"GM0751";"2016JJ00";""
"9896";"T001038";"GM1859";"2016JJ00";"   44437"
