"geoname_id";"City_Code";"city_code_cbs";"corop_code_cbs.x";"city_name";"corop_name";"pop_corop_jan_2016";"GVA_millionEUR_COROP";"EmployedPersons_1000fte_COROP"
2747373;"NL001C1";"GM0518";"CR26";"'s-Gravenhage";"Agglomeratie 's-Gravenhage";845425;1578;12,8
2747351;"NL503C1";"GM0796";"CR35";"'s-Hertogenbosch";"Noordoost-Noord-Brabant";647631;4434;40,9
2759899;"NL514C1";"GM0361";"CR19";"Alkmaar";"Alkmaar en omgeving";241621;789;8,1
2759879;"NL011C1";"GM0034";"CR40";"Almere";"Flevoland";404068;1231;12,4
2759875;"NL026C1";"GM0484";"CR28";"Alphen aan den Rijn";"Oost-Zuid-Holland";320758;1004;10,8
2759794;"NL002C1";"GM0363";"CR23";"Amsterdam";"Groot-Amsterdam";1329572;5150;39,4
2759706;"NL014C1";"GM0200";"CR13";"Apeldoorn";"Veluwe";672027;3161;31,3
2758401;"NL012C1";"GM0758";"CR33";"Breda";"West-Noord-Brabant";625319;4627;36,6
2756987;"NL513C1";"GM0150";"CR11";"Deventer";"Zuidwest-Overijssel";153455;850;8,4
2756669;"NL506C1";"GM0505";"CR30";"Dordrecht";"Zuidoost-Zuid-Holland";400908;2439;23,8
2756253;"NL005C1";"GM0772";"CR36";"Eindhoven";"Zuidoost-Noord-Brabant";756615;8083;59,7
2756071;"NL008C1";"GM0153";"CR12";"Enschede";"Twente";626525;3963;39
2755251;"NL007C1";"GM0014";"CR03";"Groningen";"Overig Groningen";388027;7802;15,8
2755003;"NL501C1";"GM0392";"CR21";"Haarlem";"Agglomeratie Haarlem";229572;575;4,9
2754064;"NL018C1";"GM0402";"CR24";"Hilversum";"Het Gooi en Vechtstreek";248324;759;6,8
2753638;"NL031C1";"GM0405";"CR18";"Hoorn";"Kop van Noord-Holland";372606;1233;12,8
2751792;"NL015C1";"GM0080";"CR04";"Leeuwarden";"Noord-Friesland";324077;1655;12,9
2751773;"NL507C1";"GM0546";"CR25";"Leiden";"Agglomeratie Leiden en Bollenstreek";418023;2625;16
2751283;"NL505C1";"GM0935";"CR39";"Maastricht";"Zuid-Limburg";600860;4357;29,9
2750896;"NL032C1";"GM0687";"CR32";"Middelburg";"Overig Zeeland";275584;1628;14,1
2750053;"NL013C1";"GM0268";"CR15";"Nijmegen";"Arnhem/Nijmegen";725759;3909;29,4
2747891;"NL003C1";"GM0599";"CR29";"Rotterdam";"Groot-Rijnmond";1412322;8382;52,5
2746301;"NL006C1";"GM0855";"CR34";"Tilburg";"Midden-Noord-Brabant";469184;2316;23
2745912;"NL004C1";"GM0344";"CR17";"Utrecht";"Utrecht";1273613;4305;38,1
2745673;"NL025C1";"GM0453";"CR20";"Velsen";"IJmond";195029;1966;14,6
2745641;"NL515C1";"GM0983";"CR37";"Venlo";"Noord-Limburg";279971;2014;20,7
2743477;"NL511C1";"GM0193";"CR10";"Zwolle";"Noord-Overijssel";364300;2137;21,3
