"geoname_id";"city_code_cbs";"corop_code_cbs.x";"city_name";"corop_name";"mitigation_plan";"pop_city_jan_2016";"pop_corop_jan_2016";"pop_share_city_of_corop";"GVA_millionEUR";"EmployedPersons_1000fte";"GVA_millionEUR_percapita";"EmployedPersons_1000fte_percapita";"gpc_mean12_15";"gpc_growth";"floodrisk_city"
2747373;"GM0518";"CR26";"'s-Gravenhage";"Agglomeratie 's-Gravenhage";"A1";519988;845425;0,615061063961913;1578;12,8;1866,51684064228;0,0151403140432327;53613,6249133756;-0,00134577424258036;1
2747351;"GM0796";"CR35";"'s-Hertogenbosch";"Noordoost-Noord-Brabant";"A1";151608;647631;0,234096267782117;4434;40,9;6846,49128902106;0,0631532462158235;47895,25;0,000315487702838018;5
2759899;"GM0361";"CR19";"Alkmaar";"Alkmaar en omgeving";"B";107615;241621;0,445387611176181;789;8,1;3265,44464264282;0,0335235761792228;38986,5;-0,0107284924487594;2
2759879;"GM0034";"CR40";"Almere";"Flevoland";"A3";198145;404068;0,490375382361385;1231;12,4;3046,51692289417;0,0306879040161557;36681,75;0,00150491123727133;1
2759875;"GM0484";"CR28";"Alphen aan den Rijn";"Oost-Zuid-Holland";"B";107960;320758;0,336577731498513;1004;10,8;3130,085609712;0,0336702436104478;39058,75;-0,00632380952380952;5
2759794;"GM0363";"CR23";"Amsterdam";"Groot-Amsterdam";"A1";833624;1329572;0,6269867295641;5150;39,4;3873,42693739038;0,0296335963753749;90035,75;0,0328890741577024;4
2759706;"GM0200";"CR13";"Apeldoorn";"Veluwe";"";159025;672027;0,236634837588371;3161;31,3;4703,68006047376;0,0465755096149411;43999,5;0,00414253355832231;2
2758401;"GM0758";"CR33";"Breda";"West-Noord-Brabant";"A1";181611;625319;0,290429364852179;4627;36,6;7399,42333433016;0,0585301262235755;49000,5;0,00853755156681146;5
2756987;"GM0150";"CR11";"Deventer";"Zuidwest-Overijssel";"B";98869;153455;0,644286598677137;850;8,4;5539,08311882962;0,0547391743507869;37979;0,0114902538025782;3
2756669;"GM0505";"CR30";"Dordrecht";"Zuidoost-Zuid-Holland";"B";118801;400908;0,296329831282988;2439;23,8;6083,69002364632;0,0593652409031499;44684,75;0,0130370775091442;1
2756253;"GM0772";"CR36";"Eindhoven";"Zuidoost-Noord-Brabant";"A1";224755;756615;0,297053323024259;8083;59,7;10683,1083179688;0,0789040661366745;54276,25;0,0267185473411154;5
2756071;"GM0153";"CR12";"Enschede";"Twente";"A1";158351;626525;0,252744902438051;3963;39;6325,36610669965;0,0622481146003751;38774,75;0,00533381587564195;1
2755251;"GM0014";"CR03";"Groningen";"Overig Groningen";"A1";200952;388027;0,517881487628438;7802;15,8;20106,8482347878;0,0407188159586833;71329,5;-0,0455224876551448;5
2755003;"GM0392";"CR21";"Haarlem";"Agglomeratie Haarlem";"A3";158140;229572;0,688847071942571;575;4,9;2504,66084714164;0,0213440663495548;38948,3309683843;-0,0131889162726026;1
2754064;"GM0402";"CR24";"Hilversum";"Het Gooi en Vechtstreek";"A1";87830;248324;0,353691145439023;759;6,8;3056,49071374495;0,0273835795170825;47871;0,009074663539398;3
2753638;"GM0405";"CR18";"Hoorn";"Kop van Noord-Holland";"B";72172;372606;0,193695216931558;1233;12,8;3309,12545691696;0,0343526405908654;33491,25;0,0101774240727852;1
2751792;"GM0080";"CR04";"Leeuwarden";"Noord-Friesland";"";107897;324077;0,332936308346473;1655;12,9;5106,81103564894;0,0398053549002243;35806,5;0,00108917119705548;3
2751773;"GM0546";"CR25";"Leiden";"Agglomeratie Leiden en Bollenstreek";"B";122561;418023;0,293192001397052;2625;16;6279,5587802585;0,0382754058987185;45467,25;-0,021966104578221;1
2751283;"GM0935";"CR39";"Maastricht";"Zuid-Limburg";"A1";122533;600860;0,203929367906001;4357;29,9;7251,27317511567;0,049762007788836;42158,5;0,0213520555877244;5
2750896;"GM0687";"CR32";"Middelburg";"Overig Zeeland";"";47873;275584;0,173714729447283;1628;14,1;5907,45471435207;0,0511640733859731;37017;0,0163572788517868;1
2750053;"GM0268";"CR15";"Nijmegen";"Arnhem/Nijmegen";"A1";172064;725759;0,237081455414263;3909;29,4;5386,08546363187;0,0405093150756656;42586,25;0,0029786335811619;5
2747891;"GM0599";"CR29";"Rotterdam";"Groot-Rijnmond";"B";629606;1412322;0,445794939114451;8382;52,5;5934,90719538462;0,0371728260269259;51034,5630820919;0,00957167990556337;1
2746301;"GM0855";"CR34";"Tilburg";"Midden-Noord-Brabant";"A3";212941;469184;0,453853925112536;2316;23;4936,22970945301;0,0490212794980221;41295;0,0139458706956557;2
2745912;"GM0344";"CR17";"Utrecht";"Utrecht";"A1";338967;1273613;0,266145995683147;4305;38,1;3380,14765866868;0,0299148956551166;60967,5;0,00340739766850732;3
2745673;"GM0453";"CR20";"Velsen";"IJmond";"";67448;195029;0,345835747504217;1966;14,6;10080,5521230176;0,0748606617477401;42806;-0,017415808195131;1
2745641;"GM0983";"CR37";"Venlo";"Noord-Limburg";"";100371;279971;0,358504988016616;2014;20,7;7193,602194513;0,0739362291094435;44192,25;0,0142179729958585;3
2743477;"GM0193";"CR10";"Zwolle";"Noord-Overijssel";"";124896;364300;0,34283832006588;2137;21,3;5866,04446884436;0,0584682953609662;43847,25;0,0140208260751752;5
